Province,City,Branch,Manager,Latitude,Longitude,Address,MapUrl
Gauteng,Springs-Springs,Springs,Unknown,-26.25487,28.4382367,Cnr 5th Avenue and 4th Street Springs 1560 GP,https://goo.gl/maps/3h5nxhm3nuC2
Gauteng,Tembisa-Phumulani Mall,Phumulani Mall,Unknown,-25.9755658,28.2282964,Shop No 24 Olifantsfontein Road Tembisa Joburg 1632 GP,https://goo.gl/maps/uZMEKxZqRjn
Gauteng,Randfontein-Randfontein Station Mall,Randfontein Station Mall,Unknown,-26.1817594,27.6961366,Brury St Randfontein 1759 GP,https://goo.gl/maps/ftxgTUWE6A42
Gauteng,Pretoria-Bloed Street,Bloed Street,Unknown,-25.7406042,28.1919993,Shop 003a Scott’s Corner Cnr Bloed & Van Der Walt Street Pretoria CBD,https://goo.gl/maps/4PhrwemNyGS2
Gauteng,Vereeniging-Marks Park,Marks Park,Unknown,-26.6762501,27.9315767,30 Voortrekker St Vereeniging 1935 GP,https://goo.gl/maps/kxMHd2hFE6D2
Gauteng,Pretoria-Atlyn Mall,Atlyn Mall,Unknown,-25.7705,28.0887138,420 Phatedu Str Atteridgeville Pretoria 0008 GP,https://goo.gl/maps/iL2GKpz52jt
Gauteng,Vanderbijlpark-Vaalgate Mall,Vaalgate Mall,Unknown,-26.6986853,27.8371115,880 D F Malan St Vanderbijlpark 1900 GP,https://goo.gl/maps/Evcv6RzZNsu
Gauteng,Carletonville-Gateway Mall,Gateway Mall,Unknown,-26.3541407,27.3960357,Annan Rd Gateway Mall Carletonville GP,https://goo.gl/maps/BwDPcviSa3E2
Gauteng,Pretoria-Soshanguve Crossing Mall,Soshanguve Crossing Mall,Unknown,-25.550165,28.0875437,Shop 36A M 43 Aubrey Matlakala St Soshanguve 0152 GP,https://goo.gl/maps/RPCaQVZ4HrM2
Gauteng,Hammanskraal-Jubilee Mall,Jubilee Mall,Unknown,-25.405736,28.269131,Cnr Jubilee and Harry Gwala Road Hammanskraal 0407 GP,https://goo.gl/maps/uHCAQu5EFwQ2
Gauteng,Benoni-Daveyton Shopping Centre,Daveyton Shopping Centre,Unknown,-26.1532402,28.4172359,Shop 17D Daveyton Shopping Centre Eiselen Street Daveyton 1520 GP,https://goo.gl/maps/teFbbwwZRtB2
Kwazulu-Natal,Pietermaritzburg-Treasury House,Treasury House,Unknown,-29.6013373,30.3767473,Shop 10 Treasury House 145 Chief Albert Luthuli Rd Pietermaritzburg 3201 KZN,https://goo.gl/maps/ghKrVMcbHfw
Kwazulu-Natal,Jozini-Jozini Mall,Jozini Mall,Unknown,-27.4323859,32.0994383,Shop 43 Jozini Mall P449 Jozini 3987 KZN,https://goo.gl/maps/a7HdJ7TFCrt
Kwazulu-Natal,Ulundi-Ulundi Site,Ulundi Site,Unknown,-28.2933115,31.4199316,Shop 10A King Senzangakhona Centre Cnr King Dinzulu Highway and Princess Magogo Street Ulundi 3838 KZN,https://goo.gl/maps/7c2JDHdzohC2
Kwazulu-Natal,Pinetown-Pine Crest,Pine Crest,Unknown,-29.8125743,30.8567843,Shop 231 17 Kings Rd Pine Crest centre Pinetown 3620 KZN,https://goo.gl/maps/aRurLRCgP6w
Kwazulu-Natal,Durban-Durban CBD,Durban CBD,Unknown,-29.8593708,31.0245739,292 Cnr Smith and Anton Lembede Street Durban CBD KZN,https://goo.gl/maps/4S7VcYtgEoF2
Kwazulu-Natal,Umlazi-Mega City Branch,Mega City Branch,Unknown,-29.9589588,30.9254464,Shop S3 Umlazi Mega City 50 Griffiths Mxenge Highway Umlazi 4066 KZN,https://goo.gl/maps/NMDYyReHi3R2
Kwazulu-Natal,Umlazi-Kwamnyandu,Kwamnyandu,Unknown,-29.9717061,30.9018143,Shop 319 341 Griffiths Mxenge Umlazi KZN,https://goo.gl/maps/ZJuAehQBanQ2
Kwazulu-Natal,Kwamashu-Bridge City Centre,Bridge City Centre,Unknown,-29.729294,30.9849941,Shop U16 14th Str Kwamashu KZN,https://goo.gl/maps/rKVaTTTkEV82
Kwazulu-Natal,Isipingo-Isipingo Juction,Isipingo Juction,Unknown,-29.9812791,30.9181331,19 Pardy Rd Isipingo 4133 KZN,https://goo.gl/maps/LhrTBu8SC4D2
Kwazulu-Natal,Empangeni-Sanlam Centre,Sanlam Centre,Unknown,-28.7417413,31.8891312,Shop 108 Sanlam Centre 335 Maxwell St Empangeni KZN,https://goo.gl/maps/8A4AF6jAReu
Kwazulu-Natal,Richards Bay-Taxi City,Taxi City,Unknown,-28.7589492,32.0418318,Shop 12 Taxi City Cnr Bullion Boulevard & Krugerrand roads Richards Bay 3900 KZN,https://goo.gl/maps/Zjx8qQtivCn
Kwazulu-Natal,Mandini-Mandini Rencken Spar,Mandini Rencken Spar,Unknown,-29.1217504,31.3825543,Shop 31 Renckens Superspar Complex Old Main Rd Mandini 4490 KZN,https://goo.gl/maps/zJYLS1ghL792
Kwazulu-Natal,Empangeni-Empangeni,Empangeni,Unknown,-28.7414779,31.8878978,Shop 108 335 Maxwell Street Empangeni,https://goo.gl/maps/n6LNpmyXvHH2
Kwazulu-Natal,Durban South-Clairwood,Clairwood,Unknown,-29.9141483,30.9758223,622 South Coast Road Clairwood Durban South 4052,https://goo.gl/maps/17V4Dv6RDW72
Kwazulu-Natal,Tongaat-Joosab Centre,Joosab Centre,Unknown,-29.5719136,31.1188025,Shop 3 Joosab Centre Watson Highway Tongaat Kwazulu Natal 4399,https://goo.gl/maps/osPudNkm5wk
Kwazulu-Natal,Tongaat,Watson Ushukela Highway,Unknown,-29.571188,31.1147583,Cnr Main Road and Watson Ushukela Highway,https://goo.gl/maps/RW9BmDN18hz
Kwazulu-Natal,Hammarsdale,Junction Mall,Unknown,-29.8018557,30.6262429,Hammarsdale Junction Mall Kunene Road Durban,https://goo.gl/maps/ZyPg6ShcSKM2
